"CIBLES NOMMÉES (réelles, Toulouse) — 21 prospects prêts à démarcher. Priorité: agences (sous-traitance = cash rapide) + cabinets modernes, puis cliniques (haute valeur, cycle long). Contacte via LinkedIn (cherche le dirigeant/DSI) avec les messages du Dispatch Pack."
Entreprise,Secteur,Taille,Ville,Signal / douleur (pourquoi eux),Contact / URL,Canal,Priorité,Statut
Agence Syril Digital,Agence (déjà IA),TPE,Toulouse,Fait déjà 'digital marketing & AI' → partenaire idéal pour sous-traiter la technique IA/n8n,LinkedIn + site (route de Seysses),Réseau,Haut,À contacter
Nehos Groupe,Agence multi-service,TPE/PME,Toulouse,Multi-service digital → débordement technique à te confier,LinkedIn,Réseau,Haut,À contacter
OPSIDE,Agence CRM,TPE,Toulouse,Spé CRM → automatisation n8n autour du CRM = complément naturel,LinkedIn,Réseau,Haut,À contacter
DATASOLUTION,Agence e-commerce,TPE,Toulouse,E-commerce → chatbots SAV + automatisation commandes pour leurs clients,LinkedIn,Réseau,Moyen,À contacter
Brique lab,Agence web,TPE,Toulouse,Dev web → revend IA/automatisation à ses clients,LinkedIn,Réseau,Moyen,À contacter
DAILYWEB,Agence web,TPE,Toulouse,Dev web → renfort technique IA en marque blanche,LinkedIn,Réseau,Moyen,À contacter
In Extenso Midi-Pyrénées,Comptabilité,PME,Toulouse,"Gros volume TPE/artisans → automatiser saisie, relances, reporting",LinkedIn (dirigeant/associé),LinkedIn,Haut,À contacter
Numbr Toulouse,Comptabilité (moderne),TPE,Toulouse,Cabinet 'nouvelle génération' → très réceptif à l'IA/automatisation,LinkedIn,LinkedIn,Haut,À contacter
Sygnatures,Comptabilité,PME,Toulouse,PME & startups → assistant IA sur doc + automatisation,LinkedIn,LinkedIn,Haut,À contacter
Fiducial Expertise Toulouse,Comptabilité,PME,Toulouse,"TPE/artisans, tâches répétitives à fort volume",LinkedIn,LinkedIn,Haut,À contacter
8 Octobre,Comptabilité,TPE,Toulouse,TPE/indépendants → sprint automatisation rapide,LinkedIn,LinkedIn,Moyen,À contacter
Exco Fiduciaire du Sud Ouest,Compta / audit,PME/ETI,Toulouse,"PME/ETI, données sensibles → assistant RAG LOCAL (RGPD)",LinkedIn,LinkedIn,Moyen,À contacter
Altis Eco,Comptabilité,TPE/PME,Toulouse,Automatisation saisie + assistant doc,LinkedIn,LinkedIn,Moyen,À contacter
Alvena Conseil,Compta / conseil,TPE/PME,Toulouse,Conseil → apprécie le ROI chiffré d'un audit d'automatisation,LinkedIn,LinkedIn,Moyen,À contacter
Clinique Pasteur,Santé,ETI,Toulouse,"Grande clinique privée, données patient → IA 100% locale conforme RGPD/AI Act",LinkedIn (DSI/dir),LinkedIn,Haut,À contacter
Clinique Médipôle Garonne,Santé,PME,Toulouse,Données patient sensibles → assistant IA local + automatisation admin,LinkedIn,LinkedIn,Moyen,À contacter
Capio Polyclinique du Parc,Santé (groupe),Groupe,Toulouse,Groupe Capio → un pilote local réplicable sur le groupe,LinkedIn,LinkedIn,Moyen,À contacter
Clinique Rive Gauche,Santé,PME,Toulouse,"Doc médicale + admin à automatiser, données confidentielles",LinkedIn,LinkedIn,Moyen,À contacter
Clinique Saint-Exupéry,Santé,PME,Toulouse,IA locale sur doc patient + tâches admin répétitives,LinkedIn,LinkedIn,Bas,À contacter
Agence IA Toulouse,Agence IA (partenaire),TPE,Toulouse,"Sous-traiter leur débordement (IA locale, multi-GPU, RAG souverain)",agence-ia-toulouse.fr,Email,Moyen,À contacter
IngéniSolution,Agence IA (partenaire),TPE/PME,Occitanie,Partenariat / sous-traitance de briques techniques,ingenisolution.fr,Email,Moyen,À contacter
