MISSIONS OUVERTES & BOARDS À TRAITER — relevé du 19/08/2026. Les boards se rafraîchissent : à checker chaque jour (J3→J8).
Source,Type,Mission / catégorie,Lieu,TJM / budget,Lien,Action
🎯 BOARDS À SURVEILLER TOUS LES JOURS
Free-Work,Board,Missions n8n,Remote / FR,variable,https://www.free-work.com/fr/tech-it/jobs/n8n,Candidater quotidien
Free-Work,Board,Missions IA,FR,variable,https://www.free-work.com/fr/tech-it/jobs/ia,Candidater quotidien
Free-Work,Board,Missions Agent IA,FR,variable,https://www.free-work.com/fr/tech-it/jobs/agent-ia,Candidater quotidien
Free-Work,Board,Missions RAG,FR,variable,https://www.free-work.com/fr/tech-it/jobs/rag,Candidater quotidien
Free-Work,Board,Missions RPA / automatisation,FR,variable,https://www.free-work.com/fr/tech-it/jobs/rpa-robotic-process-automation,Candidater quotidien
Malt,Board,Tag n8n (profil + candidatures),FR / remote,600-900 €/j,https://www.malt.fr/s/tags/n8n-68b1ce80892ea37fa07d5f7b,Profil optimisé + postuler
Malt,Board,Tag AI Agent,FR / remote,600-1000 €/j,https://www.malt.fr/s/tags/ai-agent-69cf759aaff77f733a6b296a,Profil + postuler
Malt,Board,Tag No-code,FR / remote,variable,https://www.malt.fr/s/tags/no-code-60239330e7a56507faa5d017,Profil + postuler
codeur.com,Board,Projets automatisation n8n (one-shot),FR,250-15 000 €,https://www.codeur.com/creation-automatisation-n8n,Devis différencié (pas au rabais)
codeur.com,Board,Création chatbot / IA (one-shot),FR,variable,https://www.codeur.com/creation-chatbot,Devis différencié
freelance-informatique.fr,Board,Missions IA / LLM,FR,variable,https://www.freelance-informatique.fr,Déposer CV + candidater
📌 MISSIONS SPÉCIFIQUES REPÉRÉES (19/08/2026)
CELAD,Mission,"Ingénieur Orchestration & Automatisation réseau (n8n, API)",Toulouse (LOCAL),360-420 €/j,https://www.free-work.com/fr/tech-it/jobs/n8n,Candidater — terrain local
VISIAN,Mission,"Architecte & expert IA & DATA (n8n, POC IA)",Paris,600-800 €/j,https://www.free-work.com/fr/tech-it/jobs/n8n,Candidater (remote ?)
Client via freelance-info,Mission,"Consultant IA Générative / LLM (RAG, LangChain)",Paris 75003,n.c.,https://www.freelance-informatique.fr/mission-consultant-ia-generative-llm-260428R001,Candidater
INFOTEL CONSEIL,Mission,Expert Méthode & IA (agents IA),Saint-Herblain,300-470 €/j,https://www.free-work.com/fr/tech-it/jobs/agent-ia,Candidater
JCW Search,Mission,"Chef de Produit Plateforme IA (GenAI, gouvernance)",Paris,610-1110 £/j,https://www.free-work.com/fr/tech-it/jobs/agent-ia,Candidater si intéressé
"⚠️ Lucidité : la plupart des missions ci-dessus sont LONGUES (6-12 mois) = revenu de fond / backup. Le cash one-shot des 10 jours vient surtout de : (1) projets codeur.com, (2) outreach direct PME cibles, (3) sous-traitance agences."
