bloc	type	nom	url	pays	canal_contact	contact	signal	date_signal	pertinence	preuve	cle	decision	action	file	score	priorite	regle	motif
JOB_BOARD	OFFRE	AI Automation Engineer — C12	https://fr.linkedin.com/jobs/view/ai-automation-engineer-at-c12-4455535327	FR	COMPTE_REQUIS	NON_PUBLIC	Paris 46000-50000 EUR/an, mention explicite endpoints LLM self-hosted alignement direct Ollama LM Studio	2026-08-18	5	Experience with Prefect LangGraph n8n that can integrate with self-hosted LLM endpoints	5a3bad01ce3676a6	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	AI et Automation Engineer Business Processes — DHEH	https://ch.linkedin.com/jobs/view/ai-automation-engineer-at-dheh-4455962377	CH	COMPTE_REQUIS	NON_PUBLIC	Lausanne Lonay Vaud, publiee le jour du releve, zone francophone	2026-08-19	5	Idealement une experience avec Make n8n ou une autre plateforme d automatisation	ef7929fd64950504	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	AI et Ops Automation — Pennylane	https://fr.linkedin.com/jobs/view/ai-ops-automation-at-pennylane-4407458746	FR	COMPTE_REQUIS	NON_PUBLIC	Paris, politique remote non precisee	2026-08-16	5	Tu buildes des flows d automatisation multi-outils avec des agents IA Dust N8N Notion	993dc19a4544ad74	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether	https://fr.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452378903	FR	COMPTE_REQUIS	NON_PUBLIC	100 pourcent remote France, agregateur donc employeur final masque	2026-08-13	5	Build configure and maintain advanced n8n workflows	55e517c8c765ce15	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether Belgique	https://be.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452702191	BE	COMPTE_REQUIS	NON_PUBLIC	Remote Belgique, intitule n8n Expert explicite	2026-08-13	5	Carte LinkedIn Automation Specialist n8n Expert Jobgether Belgium	d216e1fab8f08d4a	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Automation Specialist n8n Expert — Jobgether Suisse	https://ch.linkedin.com/jobs/view/automation-specialist-n8n-expert-at-jobgether-4452701256	CH	COMPTE_REQUIS	NON_PUBLIC	Remote Suisse, intitule n8n Expert explicite	2026-08-13	5	Carte LinkedIn Jobgether Switzerland 6 days ago	0f003f084bc6a6a6	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	JOBBOARD	Free-Work — page tag n8n	https://www.free-work.com/fr/tech-it/jobs/n8n	FR	COMPTE_REQUIS	NON_PUBLIC	4 annonces taguees n8n, TJM 360-800 EUR/j, freelance + CDI	2026-08-19	5	4 resultats VISIAN ADSearch CELAD Orviden, TJM affiches	0dd41575232b6768	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	JOBBOARD	HelloWork — recherche n8n	https://www.hellowork.com/fr-fr/emploi/recherche.html?k=n8n	FR	COMPTE_REQUIS	NON_PUBLIC	18 offres sur n8n, mix CDI freelance stage	2026-08-19	5	18 offres listees, fiches citant n8n verbatim	8baa2512ff47a415	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n France 7 jours	https://www.linkedin.com/jobs/search?keywords=n8n&location=France&f_TPR=r604800	FR	COMPTE_REQUIS	NON_PUBLIC	15 offres n8n France sur 7 jours, lisible sans login	2026-08-19	5	15 N8n Jobs in France, cartes datees 20 hours a 5 days	08424e8216b36330	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Low-Code Product Builder — OTOQI	https://fr.linkedin.com/jobs/view/low-code-product-builder-h-f-at-otoqi-4394433858	FR	COMPTE_REQUIS	NON_PUBLIC	Paris hybride, n8n a l echelle avec retry logging alerting	2026-08-15	5	Concevoir et maintenir des workflows a grande echelle sur n8n avec retry logging alerting	ffef29a38fbea7c5	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	100	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Architecte et expert technique IA et DATA — VISIAN	https://www.free-work.com/fr/tech-it/job-mission/expert-e-protection-donnees/architecte-expert-technique-ia-data	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance Paris 600-800 EUR/j 1 an renouvelable, TJM au-dessus de la cible	2026-07-21	5	Mise en place Workflow N8N, competences n8n BigQuery DBT SQL DevSecOps	bf32167e6d73e25f	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	97	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Ingenieur Orchestration et Automatisation Reseau — CELAD	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-orchestration-et-automatisation-reseau-h-f	FR	COMPTE_REQUIS	NON_PUBLIC	Mission freelance TOULOUSE 360-420 EUR/j, seule mission n8n freelance Toulouse mais TJM sous la cible	2026-07-31	5	Outils Itential n8n Ansible Python Node.js	d7ed0a492915aeec	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	97	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	OFFRE	Senior Automation Specialist — Jobgether	https://fr.linkedin.com/jobs/view/senior-automation-specialist-at-jobgether-4452560612	FR	COMPTE_REQUIS	NON_PUBLIC	Remote France, employeur final masque, mention n8n NON VERIFIEE	2026-08-18	4	Carte LinkedIn Senior Automation Specialist Jobgether France 1 day ago	6d8050c1eeb7f368	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	97	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Belgique 30 jours	https://www.linkedin.com/jobs/search?keywords=n8n&location=Belgium&f_TPR=r2592000	BE	COMPTE_REQUIS	NON_PUBLIC	52 offres sur 30 jours, densite Flandre + Bruxelles	2026-08-19	5	52 cartes dont Jobgether GAMING1 Liege Orange Hived	a18fc08ac9e4eedf	CONTACTABLE	CANDIDATURE_PLATEFORME	FILE_CANDIDATURE	95	P0	R04_CANDIDATURE_PLATEFORME	postuler via le compte de la plateforme
