score,titre,societe,lieu,tjm,date_pub,age_jours,frais,mots_cles,detail,url,source
7.7,Consultant IA Generative / Claude (Anthropic),SMARTPOINT,Ile-de-France,500-600 EUR/j,2026-08-17,2,OUI,anthropic;claude;ia generative,frais=3.0 geo=1.5 tjm=2.0 techno=1.2000000000000002,https://www.free-work.com/fr/tech-it/job-mission/consultant/consultant-ia-generative-claude-anthropic,free-work/rag+ia-generative
7.3,"Expert IA Agentique Senior — systemes multi-agents, MCP, orchestration",Hexateam,Ile-de-France,n.c.,2026-08-16,3,OUI,agent;agentique;mcp;multi-agents;orchestration,frais=3.0 geo=1.5 tjm=0.8 techno=2.0,https://www.free-work.com/fr/tech-it/job-mission/chef-de-projet-systemes-et-reseaux/expert-ia-agentique-senior-h-f-systemes-multi-agents-mcp-orchestration,free-work/agent-ia+rag
7.0,Chef de Projet IA agentique — gouvernance et archi Data,ARDEMIS PARTNERS,Paris,400-500 EUR/j,2026-08-18,1,OUI,agent;agentique,frais=3.0 geo=1.5 tjm=1.7 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/assistant-chef-de-projet/chef-de-projet-ia-agentique-gouvernance-et-archi-data,free-work/agent-ia
7.0,Architecte Data XP IA Agentique,ARDEMIS PARTNERS,Paris,400-580 EUR/j,2026-08-17,2,OUI,agent;agentique,frais=3.0 geo=1.5 tjm=1.7 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/architecte-de-base-de-donnees/architecte-data-xp-ia-agentique,free-work/agent-ia
7.0,Developpeur IA Agents & Orchestration H/F,Freelance.com,Ile-de-France,510-590 EUR/j,2026-08-14,5,OUI,agent;orchestration,frais=3.0 geo=1.5 tjm=1.7 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/developpeur-autre-langage-cobol-perl-vba-ruby-shell/developpeur-ia-agents-orchestration-h-f,free-work/rag
7.0,Expert IA generative et Plateforme IA H/F,Freelance.com,Ile-de-France,510-590 EUR/j,2026-08-14,5,OUI,ia generative;plateforme ia,frais=3.0 geo=1.5 tjm=1.7 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/expert-seo-consultant-referencement/expert-ia-generative-et-plateforme-ia-h-f,free-work/rag+ia-generative
7.0,Expert IA generative / LLM Engineer — Cybersecurite,DATAMED RESEARCH,"Toulouse, Occitanie",400-500 EUR/j,2026-08-06,13,non,ia generative;llm,frais=1.5 geo=3.0 tjm=1.7 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/consultant-cyber-securite/expert-ia-generative-llm-engineer-cybersecurite,free-work/ia-generative
6.9,Ingenieur automation broadcast ST2110,INSYCO,Paris,500-600 EUR/j,2026-08-18,1,OUI,automation,frais=3.0 geo=1.5 tjm=2.0 techno=0.4,https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-automation-broadcast-serveurs-et-infrastructures-de-diffusion-st2110,free-work/automatisation
6.6,Data Scientist specialise evaluation des LLMs,ISUPPLIER,Ile-de-France,400-550 EUR/j,2026-08-17,2,OUI,llm,frais=3.0 geo=1.5 tjm=1.7 techno=0.4,https://www.free-work.com/fr/tech-it/job-mission/data-scientist/data-scientist-specialise-dans-levaluation-des-llms,free-work/ia-generative
6.6,Ingenieur Automatisation DevOps,LeHibou,"Guyancourt, Ile-de-France",550 EUR/j,2026-08-12,7,OUI,automatisation,frais=3.0 geo=1.5 tjm=1.7 techno=0.4,https://www.free-work.com/fr/tech-it/job-mission/ingenieur-devops-cloud/ingenieur-automatisation-devops-2,free-work/automatisation
6.5,Tech Lead IA — CIB (H/F),STORM GROUP,Ile-de-France,400-650 EUR/j,2026-08-17,2,OUI,,frais=3.0 geo=1.5 tjm=2.0 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/lead-developer/tech-lead-ia-cib-h-f,free-work/ia-generative
6.2,Data & AI Engineer Senior (H/F),Freelance.com,"Bois-Colombes, Ile-de-France",400-580 EUR/j,2026-08-17,2,OUI,,frais=3.0 geo=1.5 tjm=1.7 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/data-engineer/data-ai-engineer-senior-h-f,free-work/agent-ia+ia-generative
6.2,Testeur & automatisation - Azure DevOps,PROPULSE IT,"Le Plessis-Robinson, Ile-de-France",225-450 EUR/j,2026-08-17,2,OUI,automatisation,frais=3.0 geo=1.5 tjm=1.3 techno=0.4,https://www.free-work.com/fr/tech-it/job-mission/ingenieur-devops-cloud/testeur-automatisation-azure-devops-45,free-work/automatisation
6.1,Developpeur Python Flask & Automatisation STB,R&S TELECOM,"Meudon, Ile-de-France",n.c.,2026-08-16,3,OUI,automatisation;python,frais=3.0 geo=1.5 tjm=0.8 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/developpeur-python/developpeur-python-flask-automatisation-stb,free-work/agent-ia+automatisation
6.1,"Expert IA Generative — Agents IA, Copilot et Industrialisation",AVA2I,Ile-de-France,n.c.,2026-08-13,6,OUI,agent;ia generative,frais=3.0 geo=1.5 tjm=0.8 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/expert-seo-consultant-referencement/expert-ia-generative-agents-ia-copilot-et-industrialisation,free-work/agent-ia+rag
5.5,"Ingenieur Orchestration et Automatisation Reseau (n8n, API)",CELAD,"Toulouse, Occitanie",360-420 EUR/j,2026-07-31,19,non,automatisation;n8n;orchestration,frais=0.0 geo=3.0 tjm=1.3 techno=1.2000000000000002,https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-orchestration-et-automatisation-reseau-h-f,free-work/n8n
5.4,Ingenieur DevOps / SRE Windows et automatisation,LeHibou,Paris,750 EUR/j,2026-08-11,8,non,automatisation,frais=1.5 geo=1.5 tjm=2.0 techno=0.4,https://www.free-work.com/fr/tech-it/job-mission/ingenieur-devops-cloud/ingenieur-devops-sre-oriente-systemes-windows-et-automatisation,free-work/automatisation
5.3,Consultant IA - SDLC/DevEx,FF,Paris,n.c.,2026-08-16,3,OUI,,frais=3.0 geo=1.5 tjm=0.8 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/consultant/consultant-ia-sdlc-devex,free-work/agent-ia
4.3,Architecte Applicatif — Audit & Urbanisation (H/F),CAT-AMANIA,Centre-Val de Loire,n.c.,2026-08-18,1,OUI,,frais=3.0 geo=0.5 tjm=0.8 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/administrateur-applicatif-erp-crm-sirh/architecte-applicatif-audit-urbanisation-h-f,free-work/agent-ia
4.3,Data Scientist / Expert IA Generative — Senior Claude (H/F),Nicholson SAS,"Nanterre, Ile-de-France",650 EUR/j,2026-07-27,23,non,claude;ia generative,frais=0.0 geo=1.5 tjm=2.0 techno=0.8,https://www.free-work.com/fr/tech-it/job-mission/data-scientist/295-data-scientist-expert-ia-generative-senior-claude-h-f,free-work/rag
3.5,Architecte & Expert Technique IA & DATA,VISIAN,Paris,600-800 EUR/j,2026-07-21,29,non,,frais=0.0 geo=1.5 tjm=2.0 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/expert-e-protection-donnees/architecte-expert-technique-ia-data,free-work/n8n
3.3,Expert Methode & IA,INFOTEL CONSEIL,Saint-Herblain,300-470 EUR/j,2026-08-11,8,non,,frais=1.5 geo=0.5 tjm=1.3 techno=0.0,https://www.free-work.com/fr/tech-it/job-mission/expert-seo-consultant-referencement/expert-methode-ia,free-work/agent-ia
