bloc	type	nom	url	pays	canal_contact	contact	signal	date_signal	pertinence	preuve
PLATEFORME_FREELANCE	PLATEFORME	Free-Work (ex Freelance-Info)	https://www.free-work.com/fr/tech-it	FR	INSCRIPTION_LIBRE	NON_PUBLIC	6046 missions en ligne, TJM affiches, gratuit sans commission. Canal numero 1 du profil	2026-08-19	5	6046 Missions en ligne, aucune commission sur votre mission freelance
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — tag n8n	https://www.free-work.com/fr/tech-it/jobs/n8n	FR	COMPTE_REQUIS	NON_PUBLIC	Page tag n8n dediee, 4 resultats dont 2 missions freelance	2026-08-19	5	Votre recherche renvoie 4 resultats
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — recherche automatisation freelance	https://www.free-work.com/fr/tech-it/jobs?query=automatisation&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	67 missions freelance automatisation ouvertes, TJM 100 a 750 EUR/j	2026-08-19	4	Votre recherche renvoie 67 resultats
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — recherche IA generative freelance	https://www.free-work.com/fr/tech-it/jobs?query=IA+generative&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	169 missions freelance IA generative, plus gros gisement TJM 500-800 EUR/j	2026-08-19	5	Votre recherche renvoie 169 resultats
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — recherche LLM freelance	https://www.free-work.com/fr/tech-it/jobs?query=LLM&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	74 missions freelance LLM ouvertes dont 2 a Toulouse	2026-08-19	5	Votre recherche renvoie 74 resultats
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — recherche Ollama freelance	https://www.free-work.com/fr/tech-it/jobs?query=Ollama&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	2 missions citant Ollama dont une a Toulouse, niche quasi vide faible concurrence	2026-08-19	5	Votre recherche renvoie 2 resultats
PLATEFORME_FREELANCE	PLATEFORME	Free-Work — recherche Grafana freelance	https://www.free-work.com/fr/tech-it/jobs?query=Grafana&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	57 missions supervision observabilite, TJM jusqu a 600 EUR/j	2026-08-19	4	Votre recherche renvoie 57 resultats
PLATEFORME_FREELANCE	PLATEFORME	Codeur.com	https://www.codeur.com/projects	FR	COMPTE_REQUIS	NON_PUBLIC	2000 projets/mois au forfait 500 a 10000 EUR, mais 85 a 138 offres concurrentes en 2h et abonnement payant requis	2026-08-19	3	Le profil du client est reserve aux prestataires abonnes
PLATEFORME_FREELANCE	PLATEFORME	Freelance.com	https://www.freelance.com/	FR	COMPTE_REQUIS	NON_PUBLIC	Gros pourvoyeur, publie de nombreuses missions IA agents a 510-620 EUR/j	2026-08-19	4	19000 Missions realisees en 2025, 150000 Talents qualifies
PLATEFORME_FREELANCE	PLATEFORME	Freelance.com — plateforme missions ex-Coworkees	https://plateforme.freelance.com/	FR	COMPTE_REQUIS	NON_PUBLIC	coworkees.com redirige 301 ici, compte requis pour voir et postuler	2026-08-19	3	Nous connectons les entreprises avec les meilleurs experts independants
PLATEFORME_FREELANCE	PLATEFORME	FreelanceRepublik	https://www.freelancerepublik.com/	FR	INSCRIPTION_LIBRE	NON_PUBLIC	Plateforme tech selective, 0 pourcent de commission cote freelance, missions longues 18 mois	2026-08-19	3	La plateforme selective des freelances de la Tech
PLATEFORME_FREELANCE	PLATEFORME	LeHibou (offres via Free-Work)	https://www.free-work.com/fr/companies/lehibou/jobs	FR	COMPTE_REQUIS	NON_PUBLIC	95 offres, TJM jusqu a 750 EUR/j, fort sur DevOps observabilite automatisation	2026-08-19	4	LeHibou Offres 95
PLATEFORME_FREELANCE	PLATEFORME	Insitoo Freelances (via Free-Work)	https://www.free-work.com/fr/companies/insitoo-freelances/jobs	FR	COMPTE_REQUIS	NON_PUBLIC	77 offres, presence Toulouse + Bruxelles Namur, double porte FR et BE francophone	2026-08-19	3	77 offres, placement et sourcing de freelances IT
PLATEFORME_FREELANCE	PLATEFORME	Malt — tag n8n	https://www.malt.fr/s/tags/n8n-68b1ce80892ea37fa07d5f7b	FR	COMPTE_REQUIS	NON_PUBLIC	Tag n8n existant, modele profil-vitrine. NON VERIFIE PAR FETCH, tous les domaines Malt en 403 anti-bot	2026-08-19	3	Titre de resultat de recherche uniquement, page jamais consultee
PLATEFORME_FREELANCE	PLATEFORME	Comet	https://www.comet.co/	FR	FORMULAIRE	NON_PUBLIC	Cabinet conseil tech IA Data Cyber grands comptes, entree par formulaire	2026-08-19	4	Comet est un cabinet de conseil en technologie
PLATEFORME_FREELANCE	PLATEFORME	Creme de la Creme	https://cremedelacreme.io/	FR	COMPTE_REQUIS	NON_PUBLIC	Marketplace freelance tech digital FR	2026-08-19	3	Les meilleurs freelances sont chez creme
PLATEFORME_FREELANCE	PLATEFORME	Kicklox	https://www.kicklox.com/	FR	INSCRIPTION_LIBRE	NON_PUBLIC	Marketplace ingenierie tech, 175000 profils, candidature directe	2026-08-19	3	Cabinet d ingenierie et de conseil en technologie
PLATEFORME_FREELANCE	PLATEFORME	Beager	https://www.beager.com/	FR	EMAIL_VERIFIE	contact@beager.com	Plateforme affinitaire, import CV LinkedIn puis propositions poussees. Email public confirme en pied de page	2026-08-19	3	Plateforme affinitaire freelance et entreprise
PLATEFORME_FREELANCE	PLATEFORME	404Works	https://www.404works.com/	FR	INSCRIPTION_LIBRE	NON_PUBLIC	Mise en relation directe sans commission, compatible forfait ferme	2026-08-19	3	Trouvez rapidement un freelance sans commission
PLATEFORME_FREELANCE	PLATEFORME	Mission-Freelance.com	https://www.mission-freelance.com/	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	Metamoteur de missions numeriques, aucun TJM affiche	2026-08-19	3	Le moteur de recherche pour les freelances du numerique
PLATEFORME_FREELANCE	PLATEFORME	n8n Community — categorie Jobs	https://community.n8n.io/c/jobs/13	INT	INSCRIPTION_LIBRE	NON_PUBLIC	Board n8n natif tres actif, gratuit zero commission contact direct client. Meilleur canal n8n pur	2026-08-19	5	Sujets dates du jour, Paid Pilot Test GoalfyData
PLATEFORME_FREELANCE	PLATEFORME	n8n Service Partner Directory	https://experts.n8n.io/	INT	FORMULAIRE	NON_PUBLIC	Annuaire officiel partenaires n8n, referencement egale flux entrant qualifie	2026-08-19	3	Annuaire officiel affichant 49 results
PLATEFORME_FREELANCE	PLATEFORME	n8n Become an Expert programme partenaires	https://n8n.io/become-an-expert/	INT	FORMULAIRE	NON_PUBLIC	ATTENTION pilote ferme, LA FRANCE EST EXCLUE aujourd hui, liste d attente	2026-08-19	2	Work in the regions UK Ireland Northern Europe and North America
PLATEFORME_FREELANCE	PLATEFORME	Freelancer.com — flux n8n	https://www.freelancer.com/jobs/n8n/	INT	COMPTE_REQUIS	NON_PUBLIC	9 projets n8n ouverts lisibles sans compte, budgets 250-750 USD au forfait	2026-08-19	5	Build Scalable n8n AI Workflows
PLATEFORME_FREELANCE	PLATEFORME	PeoplePerHour — flux n8n	https://www.peopleperhour.com/freelance-n8n-jobs	INT	COMPTE_REQUIS	NON_PUBLIC	20+ annonces n8n publiques dont self-hosting Docker explicite, clients UK 40-50 GBP/h	2026-08-19	5	Self-host n8n via Docker on staging VPS
PLATEFORME_FREELANCE	PLATEFORME	Arc.dev — flux n8n	https://arc.dev/remote-jobs/n8n	INT	COMPTE_REQUIS	NON_PUBLIC	Missions remote 40-85 USD/h avec la France eligible	2026-08-19	5	Sign up to find 7400+ jobs
PLATEFORME_FREELANCE	PLATEFORME	Braintrust — job board	https://app.usebraintrust.com/jobs/	INT	INSCRIPTION_LIBRE	FORMULAIRE	3503 offres, 0 pourcent commission freelance, 70-90 USD/h compatible 550-700 EUR/j	2026-08-19	4	3503 job openings
PLATEFORME_FREELANCE	PLATEFORME	Braintrust — conditions freelance	https://www.usebraintrust.com/for-talent	INT	INSCRIPTION_LIBRE	FORMULAIRE	Commission zero confirmee verbatim, rare et favorable au modele forfait	2026-08-19	4	Keep 100 percent of your earnings, no middlemen no fees ever
PLATEFORME_FREELANCE	PLATEFORME	Gun.io	https://www.gun.io/find-work	INT	INSCRIPTION_LIBRE	FORMULAIRE	Pas de board public, matching sur profil, commission payee par le client	2026-08-19	3	Keep 100 percent of the rate you set
PLATEFORME_FREELANCE	PLATEFORME	Toptal	https://www.toptal.com/freelance-jobs	INT	CANDIDATURE_DIRECTE	FORMULAIRE	Screening 3 etapes, acces aux projets seulement apres admission	2026-08-19	3	You can see and apply to any project from thousands of leading organizations
PLATEFORME_FREELANCE	PLATEFORME	Lemon.io	https://lemon.io/for-developers/	INT	CANDIDATURE_DIRECTE	FORMULAIRE	Vetting 5 etapes, clients US et Europe de l Ouest, aucun board public	2026-08-19	3	Senior engineers from 55 USD/hr
PLATEFORME_FREELANCE	PLATEFORME	YunoJuno	https://www.yunojuno.com/freelancers	INT	COMPTE_REQUIS	FORMULAIRE	Sans frais cote freelance mais briefs visibles seulement apres profil	2026-08-19	3	YunoJuno offers freelancers a fee-free experience
PLATEFORME_FREELANCE	PLATEFORME	Contra	https://contra.com/opportunities	INT	COMPTE_REQUIS	NON_PUBLIC	Sans commission mais board 100 pourcent derriere login, rien de verifiable	2026-08-19	3	Welcome back to Contra
PLATEFORME_FREELANCE	PLATEFORME	Beelance	https://beelance.io/fr/freelance	BE	EMAIL_VERIFIE	support@beelance.io	MEILLEUR canal francophone hors France, couvre BE LU CH, gratuit zero commission. Reserve moteur affiche 0 resultat sans compte	2026-08-19	5	C est entierement gratuit pour les freelances
PLATEFORME_FREELANCE	PLATEFORME	GoFreelance.be	https://gofreelance.be/fr/	BE	COMPTE_REQUIS	NON_PUBLIC	Agregateur missions freelance tech Belgique, annonces curees, interface FR	2026-08-19	4	We curate freelance jobs so you dont have to go through the spam
PLATEFORME_FREELANCE	PLATEFORME	Swisslinx	https://www.swisslinx.com/jobs	CH	FORMULAIRE	NON_PUBLIC	Missions contracting 9-16 mois mais concentrees Zurich et en allemand	2026-08-19	3	Kubernetes-basierten Plattform, aucun tarif affiche
PLATEFORME_FREELANCE	PLATEFORME	Jobup.ch — freelance	https://www.jobup.ch/fr/emplois/?term=freelance	CH	COMPTE_REQUIS	NON_PUBLIC	Seul board francophone de Suisse romande trouve mais domine par le salariat	2026-08-19	3	Peu de vraies missions freelance IT
PLATEFORME_FREELANCE	PLATEFORME	Espresso-Jobs	https://espresso-jobs.com/	CA	COMPTE_REQUIS	NON_PUBLIC	Job board TI quebecois en francais avec filtre Pigiste, offres majoritairement permanentes	2026-08-19	3	Votre prochain emploi en TI commence ici
PLATEFORME_FREELANCE	MISSION	Architecte et expert technique IA et DATA (VISIAN)	https://www.free-work.com/fr/tech-it/job-mission/expert-e-protection-donnees/architecte-expert-technique-ia-data	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	CIBLE NUMERO 1. Paris 600-800 EUR/j dans la fourchette, 1 an renouvelable. n8n LLM RAG MCP au cahier des charges	2026-07-21	5	Mise en place Workflow N8N, IA LLM RAG Installation MCP deploiement Agents
PLATEFORME_FREELANCE	MISSION	Ingenieur Orchestration et Automatisation Reseau (CELAD)	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-apres-vente/ingenieur-orchestration-et-automatisation-reseau-h-f	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	TOULOUSE 360-420 EUR/j sous la fourchette, 1 an. Stack quasi identique au profil	2026-07-31	5	Orchestration Itential n8n, Python Node.js JavaScript YAML
PLATEFORME_FREELANCE	MISSION	Expert IA Generative Data Scientist (AVA2I)	https://www.free-work.com/fr/tech-it/job-mission/data-scientist/expert-ia-generative-data-scientist-h-f	FR	CANDIDATURE_DIRECTE	NON_PUBLIC	TOULOUSE 400-500 EUR/j, 3 ans. Ollama cite nommement, rarissime sur le marche francais	2026-07-17	5	Hugging Face Hub vLLM Ollama Triton
