bloc	type	nom	url	pays	canal_contact	contact	signal	date_signal	pertinence	preuve
JOB_BOARD	JOBBOARD	Free-Work — page tag n8n	https://www.free-work.com/fr/tech-it/jobs/n8n	FR	COMPTE_REQUIS	NON_PUBLIC	4 annonces taguees n8n, TJM 360-800 EUR/j, freelance + CDI	2026-08-19	5	4 resultats VISIAN ADSearch CELAD Orviden, TJM affiches
JOB_BOARD	JOBBOARD	Free-Work — moteur missions IT contractor	https://www.free-work.com/fr/tech-it/jobs?query=MLOps&contracts=contractor	FR	COMPTE_REQUIS	NON_PUBLIC	37 missions freelance MLOps/IA, seul board FR publiant le TJM	2026-08-19	5	37 resultats dont Architecte IA MLOps Toulouse 570-800
JOB_BOARD	JOBBOARD	HelloWork — recherche n8n	https://www.hellowork.com/fr-fr/emploi/recherche.html?k=n8n	FR	COMPTE_REQUIS	NON_PUBLIC	18 offres sur n8n, mix CDI freelance stage	2026-08-19	5	18 offres listees, fiches citant n8n verbatim
JOB_BOARD	JOBBOARD	HelloWork — n8n Toulouse	https://www.hellowork.com/fr-fr/emploi/recherche.html?k=n8n&l=Toulouse	FR	COMPTE_REQUIS	NON_PUBLIC	1 seule offre n8n sur Toulouse, marche local tres mince	2026-08-19	3	1 resultat unique Shippingbo CDI Toulouse
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n France 7 jours	https://www.linkedin.com/jobs/search?keywords=n8n&location=France&f_TPR=r604800	FR	COMPTE_REQUIS	NON_PUBLIC	15 offres n8n France sur 7 jours, lisible sans login	2026-08-19	5	15 N8n Jobs in France, cartes datees 20 hours a 5 days
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Belgique 30 jours	https://www.linkedin.com/jobs/search?keywords=n8n&location=Belgium&f_TPR=r2592000	BE	COMPTE_REQUIS	NON_PUBLIC	52 offres sur 30 jours, densite Flandre + Bruxelles	2026-08-19	5	52 cartes dont Jobgether GAMING1 Liege Orange Hived
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Suisse 30 jours	https://www.linkedin.com/jobs/search?keywords=n8n&location=Switzerland&f_TPR=r2592000	CH	COMPTE_REQUIS	NON_PUBLIC	20 offres, Lausanne Geneve Zurich, romand exploitable	2026-08-19	5	20 cartes dont DHEH Lausanne Neho Sonar Geneve
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Luxembourg	https://www.linkedin.com/jobs/search?keywords=n8n&location=Luxembourg&f_TPR=r2592000	LU	COMPTE_REQUIS	NON_PUBLIC	6 offres seulement, marche LU etroit oriente UiPath	2026-08-19	3	6 cartes Deloitte CERATIZIT Halian SECO PATRIZIA
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Quebec	https://www.linkedin.com/jobs/search?keywords=n8n&location=Quebec%2C%20Canada&f_TPR=r2592000	CA	COMPTE_REQUIS	NON_PUBLIC	2 offres seulement sur 30 jours, canal Quebec pauvre	2026-08-19	2	2 cartes Really Great Reading KPMG Canada
JOB_BOARD	JOBBOARD	LinkedIn Jobs — n8n Toulouse 100km	https://www.linkedin.com/jobs/search?keywords=n8n&location=Toulouse%2C%20Occitanie%2C%20France&distance=100	FR	COMPTE_REQUIS	NON_PUBLIC	5 cartes dans 100 km, Toulouse ne porte pas le marche n8n	2026-08-19	3	5 resultats dont 3 postes Alan Ops Toulouse
